linha_transmissao,Tensao,concessionaria,Extensao,ano_operacao,extensao_km
"LT 230 kV Pontal - Viamão 3, C1",230,ENERPLAN IV - Enerplan Energia Eolica IV S.A.,44.64615277,2016,0.429327361103682
"LT 230 kV Pelotas 3 - Quinta, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,43.69174587,2002,0.406607630646088
"LT 230 kV Cruz Alta 2 - Ijuí 2, C1",230,CEEE-T - COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELETRICA - CEEE-T,43.38298405,2022,0.411096556636958
"LT 230 kV Ijuí 2 - Santo Ângelo 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,43.252219,2013,0.432864627338544
"LT 230 kV Nova Petrópolis 2 - Taquara, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,41.75119592,2012,0.394337364390355
"LT 230 kV Abdon Batista - Barra Grande, C2",230,STC - STC - Sistema de Transmissão Catarinense S.A.,40.31827176,2014,0.385898283087669
"LT 230 kV Abdon Batista - Barra Grande, C1",230,STC - STC - Sistema de Transmissão Catarinense S.A.,40.30977699,2014,0.385826867780602
"LT 230 kV Cidade Industrial - Guaíba 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,38.22652076,2012,0.364091373652475
"LT 230 kV Atlântida 2 - Osório 2, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,35.61863305,2007,0.350651432912286
"LT 230 kV Gravataí 2 - Jardim Botânico, C1",230,TESB - TRANSMISSORA DE ENERGIA SUL BRASIL,34.89122303,2019,0.336411514334166
"LT 230 kV Barra Grande - Campos Novos, C1",230,ETAU - EMPRESA DE TRANSMISSÃO DO ALTO DO URUGUAI S/A,34.6439216,2005,0.330058112692522
"LT 230 kV Siderópolis - Tubarão Sul, C1",230,IE SUL - INTERLIGAÇÃO ELÉTRICA SUL S.A,33.17997573,2021,0.332365822048674
"LT 230 kV Monte Claro - Nova Prata 2, C2",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,31.98420795,2015,0.307893039589856
"LT 230 kV Farroupilha - Monte Claro, C2",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,30.99064916,2008,0.297362275550539
"LT 230 kV Farroupilha - Monte Claro, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,30.91298166,2004,0.296648197118362
"LT 230 kV Itaúba - Passo Real, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,30.32010566,0,0.280336135708229
"LT 230 kV Monte Claro - Nova Prata 2, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,29.56752441,2008,0.281901864089264
"LT 230 kV Campo Bom - Taquara, C1",230,TESB - TRANSMISSORA DE ENERGIA SUL BRASIL S.A.,29.29144295,2022,0.296719638222204
"LT 230 kV Gravataí 2 - Porto Alegre 6, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,29.23751136,0,0.281715124531806
"LT 230 kV Gravataí 2 - Porto Alegre 6, C2",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,29.22460474,0,0.281605598589095
"LT 230 kV Caxias Norte - Monte Claro, C1",230,,29.10842739,2024,0.29296686355077
"LT 230 kV Forquilhinha - Siderópolis 2, C2",230,NEOENERGIA LAGOA DOS PATOS TRANSMISSÃO DE ENERGIA S.A.,28.3677956,2024,0.266961870587922
"LT 230 kV Forquilhinha - Siderópolis 2, C1",230,EDP ALIANCA - EDP TRANSMISSAO ALIANCA SC S.A.,27.59204918,2021,0.260238344666171
"LT 230 kV Forquilhinha - Siderópolis, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,27.59026281,2011,0.267979367656055
"LT 230 kV Nova Santa Rita - Porto Alegre 9, C1",230,TESB - TRANSMISSORA DE ENERGIA SUL BRASIL S.A.,27.43058297,2022,0.264984433470522
"LT 230 kV Abdon Batista - UHE São Roque, C1",230,SÃO ROQUE,27.4212259,2022,0.172041639817189
"LT 230 kV Eldorado do Sul - Porto Alegre 9, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,26.54457958,2018,0.250550692702504
"LT 230 kV Cerro Chato - Livramento 2, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,24.84042117,2011,0.25238896298186
"LT 230 kV Gravataí 3 - Fibralac, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,24.79472975,2010,0.251241419785462
"LT 230 kV Caxias Norte - Caxias 6, C1
",230,,24.62986255,0,0.243528969879129
"LT 230 kV Jorge Lacerda B - Tubarão Sul, C1",230,IE SUL - INTERLIGAÇÃO ELÉTRICA SUL S.A,24.5441389,2021,0.243860489744321
"LT 230 kV Abdon Batista - Barra Grande, C3",230,,24.47217871,2024,0.22681880995327
"LT 230 kV Monte Claro - Vinhedos, C1",230,CGT ELETROSUL - COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D,23.73515777,2021,0.224698133398817
"LT 230 kV Nova Santa Rita - Scharlau 2, C2",230,IES - INTERLIGAÇÃO ELÉTRICA SUL S.A,23.47365727,2010,0.231717146780315
"LT 230 kV Cidade Industrial - Pólo Petroquímico, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,23.47351973,0,0.23837999389636
"LT 230 kV Nova Santa Rita - Scharlau 2, C1",230,IES - INTERLIGAÇÃO ELÉTRICA SUL S.A,23.43931909,2010,0.231389146206766
"LT 230 kV Caxias Norte - Vinhedos, C1",230,,23.37814923,2024,0.23413699554754
"LT 230 kV Dona Francisca - Itaúba, C2",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,23.11707418,2005,0.213298771528564
"LT 230 kV Dona Francisca - Itaúba, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,23.04731662,2001,0.212426793094063
"LT 230 kV Caxias - Nova Petrópolis 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,22.961108,2012,0.228511770588733
"LT 230 kV Campo Bom - Gravataí 2, C2",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,22.62030095,2002,0.206430227345454
"LT 230 kV Campo Bom - Gravataí 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,22.58814603,2002,0.206115062930404
"LT 230 kV Caxias do Sul 2 - Farroupilha, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,22.56285475,0,0.22010142468391
"LT 230 kV Caxias - Caxias do Sul 5, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,22.48189181,2009,0.213706811828774
"LT 230 kV Cidade Industrial - Nova Santa Rita, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,21.93470685,2006,0.219449315108063
"LT 230 kV Cidade Industrial - Nova Santa Rita, C2",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,21.85523046,2006,0.21869039400303
"LT 230 kV Cidade Industrial - Nova Santa Rita, C3",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,21.52352693,2006,0.215590469705774
